Longitude,Latitude,Pixel,Scan
20.6616313,-6.03446505,1300,300
20.6256719,-6.03441549,1400,300
20.5897213,-6.03437686,1500,300
20.553779,-6.03434915,1600,300
20.5178447,-6.03433234,1700,300
20.481918,-6.03432644,1800,300
20.4459983,-6.03433144,1900,300
20.4100855,-6.03434733,2000,300
20.3741789,-6.0343741,2100,300
20.3382783,-6.03441175,2200,300
20.3023832,-6.03446028,2300,300
20.2664931,-6.03451968,2400,300
20.2306078,-6.03458994,2500,300
20.1947268,-6.03467107,2600,300
20.1588496,-6.03476306,2700,300
20.1229759,-6.03486591,2800,300
20.0871053,-6.03497961,2900,300
20.0512373,-6.03510417,3000,300
20.0153716,-6.03523959,3100,300
19.9795077,-6.03538586,3200,300
19.9436453,-6.03554298,3300,300
19.9077839,-6.03571096,3400,300
19.8719231,-6.03588979,3500,300
19.8360626,-6.03607948,3600,300
19.8002019,-6.03628004,3700,300
19.7643406,-6.03649145,3800,300
19.7284783,-6.03671373,3900,300
19.6929733,-6.03694449,3999,300
21.1298747,-6.02076922,0,400
21.0937635,-6.02057671,100,400
21.0576665,-6.02039528,200,400
21.0215833,-6.02022492,300,400
20.9855135,-6.02006563,400,400
20.9494565,-6.01991737,500,400
20.9134121,-6.01978015,600,400
20.8773799,-6.01965394,700,400
20.8413592,-6.01953875,800,400
20.8053499,-6.01943454,900,400
20.7693514,-6.01934131,1000,400
20.7333633,-6.01925906,1100,400
20.6973853,-6.01918777,1200,400
20.6614168,-6.01912743,1300,400
20.6254576,-6.01907803,1400,400
20.5895071,-6.01903957,1500,400
20.553565,-6.01901203,1600,400
20.5176309,-6.01899541,1700,400
20.4817043,-6.0189897,1800,400
20.4457849,-6.01899489,1900,400
20.4098722,-6.01901099,2000,400
20.3739658,-6.01903797,2100,400
20.3380653,-6.01907584,2200,400
20.3021703,-6.01912459,2300,400
20.2662804,-6.01918421,2400,400
20.2303952,-6.01925471,2500,400
20.1945143,-6.01933608,2600,400
20.1586372,-6.01942832,2700,400
20.1227637,-6.01953142,2800,400
20.0868931,-6.01964539,2900,400
20.0510253,-6.01977022,3000,400
20.0151597,-6.01990591,3100,400
19.9792959,-6.02005246,3200,400
19.9434336,-6.02020987,3300,400
19.9075723,-6.02037814,3400,400
19.8717117,-6.02055728,3500,400
19.8358512,-6.02074728,3600,400
19.7999906,-6.02094814,3700,400
19.7641294,-6.02115987,3800,400
19.7282672,-6.02138248,3900,400
19.6927622,-6.02161357,3999,400
21.1296521,-6.00542144,0,500
21.0935411,-6.00522904,100,500
21.0574444,-6.00504773,200,500
21.0213614,-6.0048775,300,500
20.9852918,-6.00471834,400,500
20.9492352,-6.00457023,500,500
20.913191,-6.00443315,600,500
20.8771589,-6.00430709,700,500
20.8411386,-6.00419205,800,500
20.8051294,-6.00408801,900,500
20.7691311,-6.00399496,1000,500
20.7331433,-6.00391288,1100,500
20.6971655,-6.00384178,1200,500
20.6611972,-6.00378163,1300,500
20.6252382,-6.00373243,1400,500
20.5892879,-6.00369417,1500,500
20.553346,-6.00366684,1600,500
20.5174121,-6.00365044,1700,500
20.4814857,-6.00364495,1800,500
20.4455664,-6.00365037,1900,500
20.4096538,-6.0036667,2000,500
20.3737476,-6.00369392,2100,500
20.3378473,-6.00373204,2200,500
20.3019525,-6.00378104,2300,500
20.2660627,-6.00384093,2400,500
20.2301777,-6.0039117,2500,500
20.1942969,-6.00399335,2600,500
20.15842,-6.00408587,2700,500
20.1225466,-6.00418926,2800,500
20.0866762,-6.00430352,2900,500
20.0508085,-6.00442865,3000,500
20.014943,-6.00456464,3100,500
19.9790794,-6.00471151,3200,500
19.9432172,-6.00486924,3300,500
19.907356,-6.00503784,3400,500
19.8714954,-6.00521731,3500,500
19.8356351,-6.00540764,3600,500
19.7997746,-6.00560886,3700,500
19.7639135,-6.00582094,3800,500
19.7280514,-6.00604391,3900,500
19.6925465,-6.00627537,3999,500
21.1294341,-5.99008317,0,600
21.0933234,-5.98989086,100,600
21.0572269,-5.98970965,200,600
21.0211441,-5.98953953,300,600
20.9850747,-5.98938047,400,600
20.9490183,-5.98923248,500,600
20.9129743,-5.98909552,600,600
20.8769425,-5.9889696,700,600
20.8409223,-5.9888547,800,600
20.8049133,-5.9887508,900,600
20.7689152,-5.98865789,1000,600
20.7329276,-5.98857598,1100,600
20.6969499,-5.98850503,1200,600
20.6609818,-5.98844505,1300,600
20.625023,-5.98839603,1400,600
20.5890729,-5.98835795,1500,600
20.5531311,-5.98833081,1600,600
20.5171973,-5.9883146,1700,600
20.4812711,-5.98830932,1800,600
20.445352,-5.98831495,1900,600
20.4094396,-5.98833149,2000,600
20.3735335,-5.98835894,2100,600
20.3376333,-5.98839728,2200,600
20.3017386,-5.98844652,2300,600
20.265849,-5.98850665,2400,600
